#Release 9.2.01i - par J.37
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Sun Jul 29 21:01:37 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       map.ncd
#OUTPUT FILE:      secd_fep_trenz_pad.csv
#PART TYPE:        xc3s1000
#SPEED GRADE:      -5
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
C3,,DIFFM,IO_L16P_7/VREF_7,UNUSED,,7,,,,,,,,,,
C4,,,HSWAP_EN,,,,,,,,,,,,,
C5,,DIFFS,IO_L25N_0,UNUSED,,0,,,,,,,,,,
C6,,DIFFS,IO_L28N_0,UNUSED,,0,,,,,,,,,,
C7,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,,
C8,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,,
C9,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,,
C11,,DIFFM,IO_L29P_1,UNUSED,,1,,,,,,,,,,
C12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,,
C13,,,TMS,,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,,
C16,ram_io<15>,IOB,IO_L01P_2/VRN_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
D1,ram_a<15>,IOB,IO_L17N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D2,ram_a<16>,IOB,IO_L17P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D3,,DIFFM,IO_L19P_7,UNUSED,,7,,,,,,,,,,
D4,,,VCCINT,,,,,,,,1.2,,,,,
D5,cf_cs1,IOB,IO/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D6,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,,
D7,cf_cs0,IOB,IO_L29P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D8,cf_we,IOB,IO_L31N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D9,utmi_clkout,IOB,IO_L32P_1/GCLK4,INPUT,LVCMOS25,1,,,,NONE,,LOCATED,,NO,NONE,
D10,aud_out<1>,IOB,IO_L30N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D11,aud_out<3>,IOB,IO_L28N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D12,aud_out<4>,IOB,IO/VREF_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D13,,,VCCINT,,,,,,,,1.2,,,,,
D14,ram_a<0>,IOB,IO_L16P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D15,ram_io<14>,IOB,IO_L17N_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
D16,ram_io<6>,IOB,IO_L17P_2/VREF_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
E1,ram_a<12>,IOB,IO_L20N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E2,ram_a<13>,IOB,IO_L20P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E3,ram_a<14>,IOB,IO_L19N_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E4,,DIFFM,IO_L21P_7,UNUSED,,7,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,,
E6,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,,
E7,,DIFFS,IO_L29N_0,UNUSED,,0,,,,,,,,,,
E8,,,VCCO_0,,,0,,,,,2.50,,,,,
E9,,,VCCO_1,,,1,,,,,2.50,,,,,
E10,aud_out<2>,IOB,IO_L30P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E11,fpga_rts,IOB,IO_L28P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E12,,,VCCINT,,,,,,,,1.2,,,,,
E13,ram_io<7>,IOB,IO_L19N_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
E14,ram_io<13>,IOB,IO_L19P_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
E15,ram_io<5>,IOB,IO_L20N_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
E16,ram_io<12>,IOB,IO_L20P_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
F1,,,VCCAUX,,,,,,,,2.5,,,,,
F2,ram_a<10>,IOB,IO_L22N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F3,ram_a<11>,IOB,IO_L22P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F4,cf_iord,IOB,IO_L21N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F5,cf_iowr,IOB,IO_L23P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F6,,,GND,,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,,
F8,,,VCCO_0,,,0,,,,,2.50,,,,,
F9,,,VCCO_1,,,1,,,,,2.50,,,,,
F10,,,VCCO_1,,,1,,,,,2.50,,,,,
F11,,,GND,,,,,,,,,,,,,
F12,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,,
F13,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,,
F14,ram_io<4>,IOB,IO_L22N_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
F15,ram_io<11>,IOB,IO_L22P_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
F16,,,VCCAUX,,,,,,,,2.5,,,,,
G1,ram_wen,IOB,IO_L40P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G2,,DIFFS,IO,UNUSED,,7,,,,,,,,,,
G3,ram_a<20>,IOB,IO_L24N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G4,ram_a<9>,IOB,IO_L24P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G5,,DIFFS,IO_L23N_7,UNUSED,,7,,,,,,,,,,
G6,,,VCCO_7,,,7,,,,,2.50,,,,,
G7,,,GND,,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,2.50,,,,,
G12,,DIFFS,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,,,,,
G13,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,,,,,
G14,ram_io<3>,IOB,IO_L24N_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
G15,ram_io<10>,IOB,IO_L24P_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
G16,ram_io<2>,IOB,IO,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
H1,,DIFFS,IO_L40N_7/VREF_7,UNUSED,,7,,,,,,,,,,
H2,,,GND,,,,,,,,,,,,,
H3,ram_a<19>,IOB,IO_L39N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H4,ram_a<18>,IOB,IO_L39P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H5,,,VCCO_7,,,7,,,,,2.50,,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,,
H7,,,GND,,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,2.50,,,,,
H12,,,VCCO_2,,,2,,,,,2.50,,,,,
H13,ram_io<9>,IOB,IO_L39N_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
H14,ram_io<1>,IOB,IO_L39P_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
H15,ram_io<0>,IOB,IO_L40N_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
H16,ram_io<8>,IOB,IO_L40P_2/VREF_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
J1,ram_a<8>,IOB,IO_L40P_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J2,ram_a<7>,IOB,IO_L40N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J3,,DIFFM,IO_L39P_6,UNUSED,,6,,,,,,,,,,
J4,,DIFFS,IO_L39N_6,UNUSED,,6,,,,,,,,,,
J5,,,VCCO_6,,,6,,,,,2.50,,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,,
J7,,,GND,,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,2.50,,,,,
J12,,,VCCO_3,,,3,,,,,2.50,,,,,
J13,hsync_b,IOB,IO_L39P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J14,fpga_txd,IOB,IO_L39N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J15,,,GND,,,,,,,,,,,,,
J16,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,,
K1,ram_a<5>,IOB,IO,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K2,ram_a<6>,IOB,IO_L24P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K3,,DIFFS,IO_L24N_6/VREF_6,UNUSED,,6,,,,,,,,,,
K4,,DIFFM,IO_L23P_6,UNUSED,,6,,,,,,,,,,
K5,,DIFFS,IO_L23N_6,UNUSED,,6,,,,,,,,,,
K6,,,VCCO_6,,,6,,,,,2.50,,,,,
K7,,,GND,,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,2.50,,,,,
K12,fpga_cts,IOB,IO_L23N_3,INPUT,LVCMOS25,3,,,,IFD,,LOCATED,,YES,NONE,
K13,joy_left,IOB,IO_L24P_3,INPUT,LVCMOS25,3,,,,IFD,,LOCATED,,YES,NONE,
K14,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,,
K15,ram_a<1>,IOB,IO,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K16,ram_oen,IOB,IO_L40P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L1,,,VCCAUX,,,,,,,,2.5,,,,,
L2,ram_a<3>,IOB,IO_L22P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L3,ram_a<4>,IOB,IO_L22N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L4,lcd_d<2>,IOB,IO_L21P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
L5,lcd_d<1>,IOB,IO_L21N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
L6,,,GND,,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,fpga_rxd,IOB,IO_L23P_3/VREF_3,INPUT,LVCMOS25,3,,,,IFD,,LOCATED,,YES,NONE,
L13,fpga_g<2>,IOB,IO_L21N_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
L14,ram_bhen,IOB,IO_L22P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L15,ram_blen,IOB,IO_L22N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L16,,,VCCAUX,,,,,,,,2.5,,,,,
M1,lcd_d<3>,IOB,IO_L20P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
M2,ram_cen,IOB,IO_L20N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M3,ram_a<2>,IOB,IO_L19P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M4,,DIFFS,IO_L19N_6,UNUSED,,6,,,,,,,,,,
M5,,,VCCINT,,,,,,,,1.2,,,,,
M6,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,,
M7,,DIFFM,IO_L30P_5,UNUSED,,5,,,,,,,,,,
M8,,,VCCO_5,,,5,,,,,2.50,,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,,
M10,,DIFFS,IO_L29N_4,UNUSED,,4,,,,,,,,,,
M11,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,,
M13,fpga_g<1>,IOB,IO_L21P_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
M14,fpga_b<2>,IOB,IO_L19N_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
M15,fpga_b<1>,IOB,IO_L20P_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
M16,fpga_b<0>,IOB,IO_L20N_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
N1,lcd_d<0>,IOB,IO_L17P_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
N2,lcd_e,IOB,IO_L17N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
N3,lcd_rw,IOB,IO_L16P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
N4,,,VCCINT,,,,,,,,1.2,,,,,
N5,,IOB,IO,UNUSED,,5,,,,,,,,,,
N6,mm_led,IOB,IO_L28N_5/D6,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N7,,DIFFS,IO_L30N_5,UNUSED,,5,,,,,,,,,,
N8,,DIFFM,IO_L32P_5/GCLK2,UNUSED,,5,,,,,,,,,,
N9,,DIFFS,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,,,,
N10,,DIFFM,IO_L29P_4,UNUSED,,4,,,,,,,,,,
N11,,DIFFM,IO_L27P_4/D1,UNUSED,,4,,,,,,,,,,
N12,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,,
N14,fpga_r<1>,IOB,IO_L19P_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
N15,fpga_r<2>,IOB,IO_L17P_3/VREF_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
N16,fpga_g<0>,IOB,IO_L17N_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
P1,lcd_rs,IOB,IO_L01P_6/VRN_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P2,,DIFFS,IO_L16N_6,UNUSED,,6,,,,,,,,,,
P3,,,M0,,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,,
P5,,DIFFM,IO_L27P_5,UNUSED,,5,,,,,,,,,,
P6,,DIFFM,IO_L29P_5/VREF_5,UNUSED,,5,,,,,,,,,,
P7,,IOB,IO,UNUSED,,5,,,,,,,,,,
P8,,DIFFS,IO_L32N_5/GCLK3,UNUSED,,5,,,,,,,,,,
P9,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,,
P10,,DIFFS,IO_L30N_4/D2,UNUSED,,4,,,,,,,,,,
P11,,DIFFS,IO_L28N_4,UNUSED,,4,,,,,,,,,,
P12,,DIFFS,IO_L25N_4,UNUSED,,4,,,,,,,,,,
P13,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,,
P14,joy_up,IOB,IO_L16P_3,INPUT,LVCMOS25,3,,,,IFD,,LOCATED,,YES,NONE,
P15,joy_down,IOB,IO_L16N_3,INPUT,LVCMOS25,3,,,,IFD,,LOCATED,,YES,NONE,
P16,fpga_r<0>,IOB,IO_L01N_3/VRP_3,OUTPUT,LVCMOS25,3,24,SLOW,NONE**,,,LOCATED,,NO,NONE,
R1,vsync_b,IOB,IO_L01N_6/VRP_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R2,,,GND,,,,,,,,,,,,,
R3,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,,
R4,,DIFFM,IO_L10P_5/VRN_5,UNUSED,,5,,,,,,,,,,
R5,,DIFFS,IO_L27N_5/VREF_5,UNUSED,,5,,,,,,,,,,
R6,,DIFFS,IO_L29N_5,UNUSED,,5,,,,,,,,,,
R7,,DIFFM,IO_L31P_5/D5,UNUSED,,5,,,,,,,,,,
R8,,,GND,,,,,,,,,,,,,
R9,,DIFFS,IO_L32N_4/GCLK1,UNUSED,,4,,,,,,,,,,
R10,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,,
R11,led<3>,IOB,IO_L28P_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R12,led<1>,IOB,IO_L25P_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R13,joy_right,IOB,IO_L01N_4/VRP_4,INPUT,LVCMOS25,4,,,,IFD,,LOCATED,,YES,NONE,
R14,,,DONE,,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,,
R16,reset_sw,IOB,IO_L01P_3/VRN_3,INPUT,LVCMOS25,3,,,PULLUP,NONE,,LOCATED,,NO,NONE,
T1,,,GND,,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,,
T3,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,,
T4,,DIFFS,IO_L10N_5/VRP_5,UNUSED,,5,,,,,,,,,,
T5,,IOB,IO,UNUSED,,5,,,,,,,,,,
T6,,,VCCAUX,,,,,,,,2.5,,,,,
T7,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,,
T8,,IOB,IO/VREF_5,UNUSED,,5,,,,,,,,,,
T9,,DIFFM,IO_L32P_4/GCLK0,UNUSED,,4,,,,,,,,,,
T10,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,,
T11,,,VCCAUX,,,,,,,,2.5,,,,,
T12,led<2>,IOB,IO,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
T13,led<0>,IOB,IO_L01P_4/VRN_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
T14,joy_fire,IOB,IO,INPUT,LVCMOS25,4,,,,IFD,,LOCATED,,YES,NONE,
T15,,,CCLK,,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
